listing.id,listing.user.id,listing.is_superhost,listing.city,listing.name,listing.property_type_id,listing.room_and_property_type,listing.space_type,listing.avg_rating,listing.reviews_count,listing.picture_count,listing.bathrooms,listing.bedrooms,listing.beds,listing.person_capacity,listing.cancel_policy,listing.is_new_listing,listing.lat,listing.lng,listing.max_nights,listing.min_nights,pricing_quote.can_instant_book,pricing_quote.monthly_price_factor,pricing_quote.rate.amount,pricing_quote.weekly_price_factor
37290316,41916063,True,Midland,3 bedroom Haven,1,Entire apartment,Entire apartment,,1,21,2.0,3,3.0,6,CANCEL_STRICT_14_WITH_GRACE_PERIOD,False,32.05161,-102.13179,30,2,True,1.0,130.0,1.0
36316542,153682556,True,Midland,Right At Home-Midland Park View,2,Entire house,Entire house,4.9,21,26,2.0,3,4.0,8,CANCEL_FLEXIBLE,False,32.00451,-102.11226,1125,1,False,1.0,295.0,1.0
38601332,77533936,False,Midland,Best AirBnb in Midland!,32,Camper/RV,Camper/RV,4.5,4,8,1.0,1,1.0,4,CANCEL_STRICT_14_WITH_GRACE_PERIOD,False,31.92136,-101.91596,1125,1,True,0.88,65.0,0.93
28912458,153682556,True,Midland,Right At Home-Lorenzoâ€™s Casita,2,Entire house,Entire house,4.82,39,30,2.0,3,3.0,6,CANCEL_FLEXIBLE,False,32.03344,-102.11689,1125,1,False,1.0,199.0,1.0
23650340,153682556,True,Midland,Shangri-La in the Oil Patch,2,Private room in house,Private room,4.85,41,11,1.0,1,1.0,2,CANCEL_FLEXIBLE,False,32.03263,-102.11901,1125,1,False,0.73,72.0,0.89
41690449,153682556,True,Midland,Right At Home - Easy Breezy Hot Tub Delight,2,Entire house,Entire house,4.75,4,40,2.5,3,3.0,6,CANCEL_MODERATE,False,32.01147,-102.14792,1125,1,False,1.0,250.0,1.0
42775578,279321942,False,Midland,Midland Bunkhouse RV,32,Camper/RV,Camper/RV,4.8,5,27,1.5,2,4.0,6,CANCEL_FLEXIBLE,False,32.03458,-101.92263,1125,1,False,0.75,50.0,0.8
42670904,266063094,False,Midland,King Suite. Free Breakfast. Pool & Hot Tub. Great for Business Travelers!,37,Entire condominium,Entire condominium,,0,17,1.0,1,1.0,2,CANCEL_MODERATE,False,31.99539,-102.16174,14,2,True,1.0,160.0,1.0
29103740,219345530,False,Midland,Nice and quiet,1,Private room in apartment,Private room,,0,3,1.0,0,1.0,1,CANCEL_FLEXIBLE,False,31.99855,-102.10964,1125,20,True,1.0,149.0,1.0
26784629,153682556,True,Midland,Right At Home-bedroom 2,2,Private room in house,Private room,4.9,21,16,1.0,1,1.0,2,CANCEL_FLEXIBLE,False,32.01872,-102.11478,1125,1,False,1.0,70.0,1.0
